Date,Covid Cases,Deaths,Unemployment,Laborforce- male,Laborforce- female
11/22/2019,0,0,1545,38440,30791
11/23/2019,0,0,1541,38439,30780
11/24/2019,0,0,1536,38437,30768
11/25/2019,0,0,1532,38436,30757
11/26/2019,0,0,1528,38435,30746
11/27/2019,0,0,1523,38433,30734
11/28/2019,0,0,1519,38432,30723
11/29/2019,0,0,1515,38431,30712
11/30/2019,0,0,1510,38429,30700
12/1/2019,0,0,1508,38423,30696
12/2/2019,0,0,1506,38417,30692
12/3/2019,0,0,1504,38411,30688
12/4/2019,0,0,1502,38405,30684
12/5/2019,0,0,1500,38399,30680
12/6/2019,0,0,1498,38393,30676
12/7/2019,0,0,1496,38387,30672
12/8/2019,0,0,1494,38381,30668
12/9/2019,0,0,1492,38375,30664
12/10/2019,0,0,1490,38369,30660
12/11/2019,0,0,1488,38363,30656
12/12/2019,0,0,1486,38357,30652
12/13/2019,0,0,1484,38351,30648
12/14/2019,0,0,1482,38345,30644
12/15/2019,0,0,1480,38339,30640
12/16/2019,0,0,1478,38333,30636
12/17/2019,0,0,1476,38327,30632
12/18/2019,0,0,1474,38321,30628
12/19/2019,0,0,1472,38315,30624
12/20/2019,0,0,1470,38309,30620
12/21/2019,0,0,1468,38303,30616
12/22/2019,0,0,1466,38297,30612
12/23/2019,0,0,1464,38291,30608
12/24/2019,0,0,1462,38285,30604
12/25/2019,0,0,1460,38279,30600
12/26/2019,0,0,1458,38273,30596
12/27/2019,0,0,1456,38267,30592
12/28/2019,0,0,1454,38261,30588
12/29/2019,0,0,1452,38255,30584
12/30/2019,0,0,1450,38249,30580
12/31/2019,0,0,1448,38243,30576
1/1/2020,0,0,1453,38238,30569
1/2/2020,0,0,1458,38233,30562
1/3/2020,0,0,1462,38227,30555
1/4/2020,0,0,1467,38222,30548
1/5/2020,0,0,1472,38217,30541
1/6/2020,0,0,1476,38211,30534
1/7/2020,0,0,1481,38206,30527
1/8/2020,0,0,1486,38201,30520
1/9/2020,0,0,1490,38195,30513
1/10/2020,0,0,1495,38190,30506
1/11/2020,0,0,1500,38185,30499
1/12/2020,0,0,1504,38179,30492
1/13/2020,0,0,1509,38174,30485
1/14/2020,0,0,1514,38169,30478
1/15/2020,0,0,1518,38163,30471
1/16/2020,0,0,1523,38158,30464
1/17/2020,0,0,1528,38153,30457
1/18/2020,0,0,1532,38147,30450
1/19/2020,0,0,1537,38142,30443
1/20/2020,0,0,1542,38137,30436
1/21/2020,0,0,1546,38131,30429
1/22/2020,2,0,1551,38126,30422
1/23/2020,2,0,1556,38121,30415
