Date,Covid Cases,Deaths,Unemployment,Laborforce- male,Laborforce- female
11/22/2019,0,0,5459,86853,77583
11/23/2019,0,0,5457,86854,77575
11/24/2019,0,0,5454,86856,77568
11/25/2019,0,0,5452,86857,77560
11/26/2019,0,0,5450,86858,77552
11/27/2019,0,0,5448,86860,77545
11/28/2019,0,0,5445,86861,77537
11/29/2019,0,0,5443,86862,77529
11/30/2019,0,0,5441,86864,77522
12/1/2019,0,0,5443,86851,77521
12/2/2019,0,0,5445,86839,77521
12/3/2019,0,0,5447,86827,77520
12/4/2019,0,0,5449,86815,77520
12/5/2019,0,0,5451,86803,77519
12/6/2019,0,0,5453,86791,77519
12/7/2019,0,0,5455,86779,77518
12/8/2019,0,0,5457,86767,77518
12/9/2019,0,0,5459,86754,77517
12/10/2019,0,0,5461,86742,77517
12/11/2019,0,0,5464,86730,77516
12/12/2019,0,0,5466,86718,77516
12/13/2019,0,0,5468,86706,77515
12/14/2019,0,0,5470,86694,77515
12/15/2019,0,0,5472,86682,77514
12/16/2019,0,0,5474,86670,77514
12/17/2019,0,0,5476,86657,77513
12/18/2019,0,0,5478,86645,77513
12/19/2019,0,0,5480,86633,77512
12/20/2019,0,0,5482,86621,77512
12/21/2019,0,0,5484,86609,77511
12/22/2019,0,0,5486,86597,77511
12/23/2019,0,0,5489,86585,77510
12/24/2019,0,0,5491,86573,77510
12/25/2019,0,0,5493,86560,77509
12/26/2019,0,0,5495,86548,77509
12/27/2019,0,0,5497,86536,77508
12/28/2019,0,0,5499,86524,77508
12/29/2019,0,0,5501,86512,77507
12/30/2019,0,0,5503,86500,77507
12/31/2019,0,0,5505,86488,77506
1/1/2020,0,0,5539,86482,77495
1/2/2020,0,0,5572,86476,77483
1/3/2020,0,0,5605,86471,77472
1/4/2020,0,0,5639,86465,77461
1/5/2020,0,0,5672,86459,77449
1/6/2020,0,0,5705,86454,77438
1/7/2020,0,0,5739,86448,77427
1/8/2020,0,0,5772,86443,77415
1/9/2020,0,0,5805,86437,77404
1/10/2020,0,0,5839,86431,77393
1/11/2020,0,0,5872,86426,77381
1/12/2020,0,0,5905,86420,77370
1/13/2020,0,0,5939,86414,77359
1/14/2020,0,0,5972,86409,77347
1/15/2020,0,0,6005,86403,77336
1/16/2020,0,0,6039,86397,77325
1/17/2020,0,0,6072,86392,77313
1/18/2020,0,0,6105,86386,77302
1/19/2020,0,0,6139,86380,77291
1/20/2020,0,0,6172,86375,77279
1/21/2020,0,0,6205,86369,77268
1/22/2020,1,0,6239,86363,77257
1/23/2020,1,0,6272,86358,77245
1/24/2020,2,0,6305,86352,77234
1/25/2020,2,0,6339,86346,77223
1/26/2020,5,0,6372,86341,77211
1/27/2020,5,0,6405,86335,77200
1/28/2020,5,0,6439,86329,77189
1/29/2020,5,0,6472,86324,77177
1/30/2020,5,0,6505,86318,77166
1/31/2020,7,0,6539,86313,77155
2/1/2020,8,0,6529,86321,77170
2/2/2020,8,0,6520,86330,77186
2/3/2020,11,0,6510,86339,77202
2/4/2020,11,0,6501,86348,77217
2/5/2020,11,0,6491,86357,77233
