country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.3,10.9,7.2,22.5,2.1,-2.16,3.81,16.6,7.3,4.82,0.567,2.45,5.1,1.95,0.792
Albania,,,,,,,,,,,,,,,,,,,,,-2.14,-0.0177,-0.0168,-0.0284,0.351,-2.42,-0.00031,-0.00058,0.00368,-0.431,35.5,233,126,35.8,9.97,38.2,11.2,6.73,2.1,5.64,3.81,3.64,5.2,3.16,3.3,2.48,4.39,4.12,2.42,4.49,2.31,1.04,0.289,1.55,0.564,-0.632,1.47,0.948
Algeria,3.47,2.35,0.549,1.7,1.5,1.82,1.31,3.14,1.92,4.94,17.2,-4.61,9.63,48.9,5.91,10.8,11.9,10.1,14,25.9,14.4,1.94,6.8,8.43,4.97,2.41,8.84,9.06,16,30.3,53.8,21.9,13.6,29.1,28.6,24,7,-3.13,10.9,22.7,-0.468,1.32,8.34,12.2,16.1,10.5,6.39,15.3,-11.2,16.1,18.2,7.46,-0.0953,-0.301,-6.46,1.55,4.7,7.56
Andorra,,,,,,,,,,,7.85,8.52,11.8,15.9,16.8,16.5,23.4,20.6,16.9,13.4,12.4,13.6,11.9,10.9,8.6,10.9,5.94,5.94,6.9,7.33,6.94,6.71,4.54,3.88,4.93,0.797,2.23,1.5,2.73,29.2,2.77,3.4,2.88,3.35,3.1,3.2,3.87,1.98,-0.00001,1.6,2.5,1.1,0.00036,-0.1,-0.455,0.7,1.06,0.896
Angola,,,,,,,,,,,,,,,,,,,,,-2.1,0,0.0128,0.00119,19,-9.01,9.82,2.21,16.3,14,106,477,918,2180,1830,4800,95.5,39.4,558,418,106,197,93.9,33.4,42.4,17.1,4.31,19.4,-16.8,31.7,31.8,7.26,2.84,3.56,-3.52,21.8,22.6,34.8
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.64,14.8,11.4,8.35,11.3,5.17,3.84,7.41,8.12,8.88,12.4,4.58,1.65,2.61,2.46,1.81,3.25,2.4,2.98,1.83,2.11,1.5,1.55,1.48,0.702,-0.963,1.64,4.46,0.408,3.74,4.38,1.79,1.52,1.02,2.04,-0.947,1.91,3.02,1.87,-0.931,2.16
Argentina,20.3,28.9,25.6,28.8,21.2,25.6,29,10.3,7.8,6.47,31.3,64.2,65.5,30.6,198,438,159,161,147,95.8,105,195,380,611,607,77.3,128,381,3050,2080,141,16.1,-3.56,2.85,3.17,-0.0524,-0.464,-1.71,-1.84,1.04,-1.1,30.6,10.5,18.4,10.3,13.7,14.9,23.2,15.4,20.9,23.7,22.3,23.9,40.3,26.6,41.1,26,40.7
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,569,1390,4110,161,19.6,17.7,10.7,0.0538,-1.37,4.07,2.37,4.56,6.31,3.24,4.62,4.23,5.99,2.56,7.77,4.28,5.35,3.37,2.31,1.21,0.269,2.15,2.58
Australia,3.22,-0.0754,1.79,3.28,2.98,2.69,4.87,2.25,4.75,5.13,5.19,6.19,8.98,16.4,16.5,14,11.4,8.24,8.63,10,9.53,11.7,10.2,7.86,4.63,6.46,7.05,7.21,9.25,6.09,3.04,1.5,0.894,1.02,2.26,2.7,1.23,1.27,0.357,2.58,4.62,2.86,3.11,3.31,3.8,5.09,5.01,4.53,5,1.17,6.25,1.86,-0.124,1.48,-0.55,-0.533,3.74,1.89
Austria,5.09,3.34,3.68,3.18,5.32,3.12,3.25,2.84,2.73,6.45,6.2,7.6,8.05,9.5,6.46,5.62,5.2,5.99,4.11,5.58,6.72,5.36,3.47,4.95,2.96,2.95,2.44,1.53,2.96,3,3.64,3.48,2.76,2.52,1.81,0.986,1.27,0.442,0.256,1.36,1.95,1.15,1.31,1.74,2.54,1.89,2.22,1.96,1.89,0.873,1.83,2.05,1.62,2.18,2.3,1.67,1.13,1.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,1070,747,1390,546,26.4,9.24,-0.965,2.16,12.5,2.52,4.21,6.96,9.25,14.7,11.3,20.6,28,-18.9,13.8,24.6,2.84,0.414,-1.33,-8.81,14.6,16.7,11.9
Bahamas,1.16,1.09,1.34,1.51,2.01,3.77,4.71,5.16,8.93,6.15,4.58,6.79,5.55,13.2,10.7,2.39,1.73,2.25,8.55,10,17.7,3.7,5.98,3.17,8.46,4.66,6.59,1.48,1.81,5.07,2.56,3.91,-0.852,2.18,0.802,0.984,71.9,3.05,4.95,0.922,0.353,3.96,1.15,1.19,5.06,0.828,2.95,1.49,-1.04,-0.393,-0.858,3.27,1.53,2.56,7.05,1.13,1.71,0.679
